metric,measurement_set,horizon_cycle,service_N,rank,value
sigma_min_W,Resistance,110.0,,5,1.6630216511938902e-07
condition_W,Resistance,110.0,,5,12770562336.453901
sigma_min_W,Resistance,111.0,,5,1.7470432332112785e-07
condition_W,Resistance,111.0,,5,12954704994.684412
sigma_min_W,Resistance,112.0,,5,1.9607511032057626e-07
condition_W,Resistance,112.0,,5,12324923166.187408
sigma_min_W,Resistance,113.0,,5,2.3377857536563507e-07
condition_W,Resistance,113.0,,5,11061208950.441603
sigma_min_W,Resistance,114.0,,5,2.9890835210353493e-07
condition_W,Resistance,114.0,,5,9278401186.841444
sigma_min_W,Resistance,115.0,,5,3.995208418656602e-07
condition_W,Resistance,115.0,,5,7463833582.965223
sigma_min_W,Resistance,116.0,,5,5.459618283644453e-07
condition_W,Resistance,116.0,,5,5888470486.082135
sigma_min_W,Resistance,117.0,,5,6.778818068180472e-07
condition_W,Resistance,117.0,,5,5127858851.345923
sigma_min_W,Resistance,118.0,,5,7.82354047686503e-07
condition_W,Resistance,118.0,,5,4819038618.1825485
sigma_min_W,Resistance,119.0,,5,8.024620811936471e-07
condition_W,Resistance,119.0,,5,5112573283.483355
sigma_min_W,Resistance,120.0,,5,8.826748519369828e-07
condition_W,Resistance,120.0,,5,5075154293.047643
sigma_min_W,Capacity + Resistance,0.0,,2,6.966840681664473e-19
condition_W,Capacity + Resistance,0.0,,2,inf
sigma_min_W,Capacity + Resistance,1.0,,4,4.457360520780974e-18
condition_W,Capacity + Resistance,1.0,,4,inf
sigma_min_W,Capacity + Resistance,2.0,,5,6.937812245878924e-11
condition_W,Capacity + Resistance,2.0,,5,70620706755.57945
sigma_min_W,Capacity + Resistance,3.0,,5,1.164561851934448e-10
condition_W,Capacity + Resistance,3.0,,5,56556239805.12869
